KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
10907196|  1|  0|J18583782+4822494|78.402|18.804| 4969|   79| 4808|   74| 4.67| 0.13| 44.12| 0.96|KASC,PUBLIC                                  |4721| 87|-0.08| 0.06|    1.47|    0.16|    0.19|   10.77|    0.42|    0.64|    2.543|    0.011|    0.011|    0.00119|    0.00005|    0.00005|4740| 87|-0.08| 0.06|    1.50|    0.13|    0.20|   10.88|    0.33|    0.72|    2.543|    0.011|    0.011|    0.00119|    0.00005|    0.00004|284.657590|+48.380390
10962775|  1|  0|J18582020+4824064|78.405|18.857| 5009|   81| 4819|   75| 4.11| 0.09| 35.12| 0.86|PUBLIC                                       |4716| 94|-0.25| 0.06|    1.21|    0.13|    0.12|   10.93|    0.47|    0.48|    2.444|    0.011|    0.012|    0.00093|    0.00003|    0.00003|4736| 94|-0.29| 0.06|    1.21|    0.13|    0.12|   10.94|    0.48|    0.45|    2.444|    0.011|    0.012|    0.00093|    0.00003|    0.00003|284.584170|+48.401779
11177749|  1|  0|J18571019+4848067|78.735|19.174| 4769|  105| 4612|   99| 4.11| 0.10| 34.18| 0.79|KASC                                         |4591| 83| 0.03| 0.05|    1.08|    0.12|    0.11|   10.51|    0.49|    0.45|    2.426|    0.011|    0.011|    0.00093|    0.00003|    0.00003|4644| 83| 0.06| 0.05|    1.08|    0.13|    0.11|   10.54|    0.50|    0.46|    2.427|    0.011|    0.010|    0.00093|    0.00003|    0.00003|284.292480|+48.801880
11231549|  1|  0|J18584464+4857075|78.977|18.981| 4728|   80| 4574|   75| 3.40| 0.08| 30.25| 0.69|KASC                                         |4451| 86|-0.06| 0.06|    1.51|    0.17|    0.15|   13.31|    0.58|    0.56|    2.368|    0.011|    0.011|    0.00064|    0.00002|    0.00002|4541| 86|-0.03| 0.06|    1.55|    0.17|    0.16|   13.46|    0.61|    0.58|    2.371|    0.011|    0.011|    0.00064|    0.00002|    0.00002|284.686040|+48.952110
11284798|  1|  0|J18582108+4901359|79.028|19.067| 4349|   70| 4201|   65| 1.46| 0.04|  9.50| 0.25|KASC,LUMINOUS_RGB                            |4126| 85|-0.04| 0.06|    1.22|    0.17|    0.14|   21.76|    1.14|    1.05|    1.848|    0.013|    0.013|    0.00012|    0.00001|    0.00001|4283| 85| 0.04| 0.06|    1.29|    0.16|    0.15|   22.26|    1.12|    1.07|    1.854|    0.012|    0.012|    0.00012|    0.00001|    0.00001|284.587830|+49.026661
11337883|  1|  0|J18583500+4906208|79.120|19.058| 5068|   87| 4937|   83|11.53| 0.21|149.21| 3.22|PUBLIC                                       |4806| 85|-0.03| 0.06|    1.53|    0.15|    0.14|    5.93|    0.23|    0.22|    3.076|    0.011|    0.011|    0.00734|    0.00019|    0.00020|4802| 85|-0.03| 0.06|    1.53|    0.15|    0.13|    5.92|    0.23|    0.22|    3.076|    0.011|    0.011|    0.00734|    0.00019|    0.00019|284.645870|+49.105782
11178396|  1|  0|J18590205+4853311|78.934|18.916| 5214|  109| 5017|  102| 3.85| 0.08| 28.30| 1.62|KASC,PUBLIC                                  |4835|111|-0.69| 0.08|    0.89|    0.15|    0.09|   10.31|    0.62|    0.40|    2.361|    0.021|    0.016|    0.00081|    0.00002|    0.00002|4824|111|-0.81| 0.08|    0.86|    0.17|    0.07|   10.19|    0.67|    0.36|    2.359|    0.021|    0.016|    0.00081|    0.00002|    0.00002|284.758540|+48.891979
11284760|  1|  0|J18581445+4901055|79.013|19.081| 4852|   97| 4694|   91| 4.10| 0.08| 34.53| 0.89|KASC,PUBLIC                                  |4609| 84|-0.01| 0.06|    1.12|    0.12|    0.11|   10.67|    0.44|    0.43|    2.431|    0.012|    0.012|    0.00092|    0.00003|    0.00003|4658| 84| 0.02| 0.06|    1.14|    0.12|    0.12|   10.72|    0.44|    0.45|    2.433|    0.012|    0.012|    0.00092|    0.00003|    0.00003|284.560240|+49.018211
11072470|  1|  0|J19010271+4837597|78.798|18.516| 4809|   83| 4599|   77| 3.93| 0.09| 32.66| 1.31|PUBLIC                                       |4473| 78| 0.15| 0.05|    1.07|    0.16|    0.12|   10.79|    0.61|    0.46|    2.400|    0.018|    0.014|    0.00085|    0.00003|    0.00003|4558| 78| 0.23| 0.05|    1.10|    0.17|    0.14|   10.90|    0.64|    0.51|    2.403|    0.018|    0.015|    0.00085|    0.00003|    0.00003|285.261320|+48.633270
11072334|  1|  0|J19004144+4836005|78.744|18.559| 5020|   89| 4851|   83| 6.68| 1.03| 79.25| 3.24|PUBLIC                                       |4689| 79| 0.11| 0.05|    1.43|    0.43|    0.35|    7.96|    1.05|    0.97|    2.792|    0.018|    0.019|    0.00284|    0.00041|    0.00038|4716| 79| 0.16| 0.05|    1.61|    0.50|    0.40|    8.41|    1.18|    1.07|    2.794|    0.018|    0.019|    0.00270|    0.00043|    0.00039|285.172700|+48.600140
